ID,DATE,AMOUNT,ACCOUNT_ID
2396,12/02,-67.39,11
2397,06/15,81.38,8
2398,10/03,-83.5,6
2399,02/23,-77.96,7
2400,01/18,3.68,6
2401,12/21,-49.76,19
2402,11/04,-81.88,5
2403,12/08,91.93,17
2404,08/21,-7.28,15
2405,02/27,-74.73,5
2406,02/22,-24.54,16
2407,02/04,83.79,20
2408,07/24,-23.06,20
2409,06/05,-93.73,9
2410,03/07,12.5,13
2411,01/30,-80.47,16
2412,04/18,-81.18,10
2413,09/06,91.87,3
2414,05/15,99.14,9
2415,06/23,-9.39,7
2416,03/11,56.23,13
2417,07/26,46.28,13
2418,12/12,-44.25,3
2419,06/01,-80.2,7
2420,05/24,75.75,18
2421,11/19,-79.73,7
2422,06/23,10.44,12
2423,04/09,67.8,14
2424,07/14,-27.0,9
2425,01/04,-41.68,8
2426,05/24,-78.05,16
2427,03/03,-82.65,9
2428,09/13,27.92,1
2429,01/20,-69.94,13
2430,12/20,-70.72,9
2431,11/18,-14.07,12
2432,05/21,13.39,20
2433,05/04,81.96,6
2434,02/19,-72.75,7
2435,10/01,95.88,17
2436,09/25,28.91,11
2437,11/28,68.69,4
2438,09/20,-63.21,8
2439,08/12,-84.24,2
2440,06/24,90.06,18
2441,06/12,58.39,12
2442,01/21,-28.61,1
2443,08/01,34.38,10
2444,12/21,4.66,13
2445,09/16,-44.58,20
2446,04/21,92.56,8
2447,02/21,50.57,18
2448,11/23,61.63,13
2449,09/03,-80.41,14
2450,11/08,-97.47,12
2451,06/22,-24.1,16
2452,10/10,-28.39,13
2453,08/18,-79.46,9
2454,05/31,65.12,1
2455,06/09,5.2,9
2456,11/30,-84.65,3
2457,09/13,-91.81,6
2458,02/17,24.47,17
2459,07/24,56.28,4
2460,02/03,96.13,7
2461,12/27,-48.13,4
2462,07/12,-46.78,13
2463,01/09,-16.4,12
2464,08/02,4.08,15
2465,02/26,-92.34,19
2466,09/27,-70.21,14
2467,01/04,11.74,18
2468,11/02,23.93,17
2469,05/08,35.76,12
2470,04/11,-19.3,15
2471,07/17,-98.01,9
2472,09/02,-65.36,8
2473,08/10,-75.0,6
2474,07/29,-66.73,4
2475,05/06,-67.62,10
2476,04/27,-33.65,3
2477,01/16,-21.88,1
2478,12/29,-93.85,13
2479,12/22,12.79,4
2480,08/24,-90.79,10
2481,12/06,70.76,8
2482,11/08,-87.51,13
2483,07/03,97.46,13
2484,05/28,90.4,8
2485,03/26,-75.45,9
2486,10/30,86.51,17
2487,12/30,17.94,17
2488,09/19,-93.35,8
2489,10/23,-21.19,8
2490,01/08,29.29,3
2491,07/20,-53.83,13
2492,11/12,26.36,8
2493,10/22,61.03,15
2494,03/04,-76.87,18
2495,05/29,6.33,19
2496,11/18,6.11,2
2497,05/28,-55.61,7
2498,12/29,-22.34,7
2499,07/19,71.65,19
2500,02/14,3.49,13
2501,11/03,60.75,3
2502,09/09,16.91,1
2503,02/03,-62.94,17
2504,02/27,-97.14,15
2505,10/16,37.04,4
2506,12/29,-61.41,15
2507,04/07,-76.75,2
2508,08/15,-2.02,16
2509,06/04,7.42,3
2510,01/20,-70.37,20
2511,01/09,-61.27,6
2512,04/28,-90.24,18
2513,06/14,48.35,5
2514,04/09,-2.11,7
2515,03/10,-47.94,4
2516,02/16,-68.33,20
2517,01/12,-24.95,3
2518,10/12,-74.34,9
2519,11/20,-20.05,11
2520,04/28,51.35,14
2521,08/15,10.62,8
2522,01/27,26.72,3
2523,07/03,70.8,3
2524,04/16,-58.84,17
2525,10/13,43.89,12
2526,07/30,-79.8,19
2527,10/20,-65.88,3
2528,12/30,-38.07,7
2529,08/17,-35.64,19
2530,04/11,1.22,10
2531,03/17,42.53,2
2532,10/02,-65.7,1
2533,06/08,20.63,4
2534,04/07,17.09,6
2535,06/18,92.6,1
2536,11/26,-65.77,18
2537,12/14,70.7,1
2538,10/17,-94.08,10
2539,06/18,81.02,10
2540,03/05,63.4,8
2541,03/14,2.06,4
2542,01/25,49.49,5
2543,06/14,-27.34,4
2544,02/27,24.09,17
2545,07/30,68.01,18
2546,04/21,79.34,7
2547,05/11,72.74,6
2548,01/24,-32.21,3
2549,11/09,78.84,10
2550,07/15,-1.63,1
2551,08/16,-27.96,7
2552,10/17,13.02,17
2553,12/16,1.12,3
2554,05/13,-39.68,11
2555,01/03,-92.64,5
2556,01/21,-67.34,12
2557,06/17,35.08,11
2558,09/21,-19.63,9
2559,04/03,90.81,5
2560,07/19,-62.41,14
2561,10/30,-51.87,20
2562,02/28,-11.47,13
2563,07/04,58.95,2
2564,10/02,-47.18,3
2565,07/18,92.55,9
2566,08/25,-69.0,5
2567,11/18,-77.04,9
2568,04/04,47.6,3
2569,06/20,-15.97,3
2570,03/16,31.01,6
2571,12/13,-22.0,12
2572,09/05,-4.65,20
2573,04/19,-70.96,3
2574,10/17,49.12,15
2575,06/28,14.29,17
2576,05/16,-39.22,19
2577,12/17,-11.21,7
2578,04/28,-12.24,1
2579,11/23,83.41,3
2580,03/11,96.89,2
2581,07/26,59.94,6
2582,08/11,-61.44,11
2583,06/14,76.06,15
2584,07/08,63.06,19
2585,07/28,-61.99,14
2586,10/30,90.82,5
2587,09/25,-45.4,8
2588,09/08,65.13,9
2589,02/01,-5.73,9
2590,09/06,-28.34,10
2591,05/29,-58.71,1
2592,07/07,41.49,18
2593,12/30,78.48,10
2594,05/24,-26.21,13
2595,03/07,90.64,6
2596,11/30,40.06,7
2597,03/07,-18.31,15
2598,05/07,-45.51,18
2599,04/23,-46.97,11
2600,04/18,-58.98,10
2601,07/03,8.66,14
2602,10/18,-1.62,16
2603,04/25,-33.56,19
2604,10/20,-39.46,15
2605,12/01,41.98,1
2606,10/24,74.4,20
2607,11/11,-10.71,18
2608,04/22,21.46,13
2609,08/06,98.33,12
2610,05/04,21.84,2
2611,04/08,20.96,15
2612,02/06,-73.62,1
2613,08/23,66.14,19
2614,02/17,-0.21,10
2615,03/02,33.52,13
2616,07/06,-86.81,20
2617,09/17,46.41,16
2618,09/28,26.67,4
2619,09/21,-31.18,1
2620,12/07,-99.12,8
2621,02/20,56.34,5
2622,02/20,50.2,20
2623,07/08,-97.44,17
2624,08/21,40.92,8
2625,05/06,18.6,16
2626,07/28,-47.51,7
2627,04/27,55.71,6
2628,11/20,61.12,10
2629,01/25,-66.16,11
2630,11/04,-80.88,5
2631,06/20,-94.1,19
2632,06/03,19.3,7
2633,12/13,-34.98,12
2634,01/27,-25.12,16
2635,07/10,-0.14,6
2636,06/04,92.04,18
2637,06/22,80.63,17
2638,01/31,-56.1,10
2639,10/29,81.35,3
2640,12/14,-68.82,19
2641,11/07,68.96,10
2642,07/23,77.08,15
2643,12/04,77.5,7
2644,05/16,-89.92,19
2645,01/17,69.39,12
2646,01/21,29.16,9
2647,07/10,-78.29,16
2648,02/09,50.49,16
2649,04/06,-62.3,13
2650,11/24,13.59,11
2651,12/27,-26.2,17
2652,05/25,54.52,20
2653,12/31,-18.57,9
2654,01/30,-79.23,1
2655,09/07,-17.11,13
2656,11/20,53.11,9
2657,09/10,0.34,6
2658,09/26,-85.84,12
2659,06/09,-48.43,13
2660,02/01,22.19,16
2661,03/14,-7.77,10
2662,10/02,-18.66,18
2663,11/18,48.42,20
2664,08/07,-35.08,2
2665,09/21,-66.17,15
2666,03/23,3.41,14
2667,03/02,68.26,15
2668,04/14,41.12,20
2669,08/11,-79.34,9
2670,03/13,-91.16,7
2671,03/05,-8.72,18
2672,07/11,98.55,5
2673,05/02,-7.72,20
2674,04/07,-3.94,15
2675,07/25,39.82,1
2676,12/01,60.34,12
2677,09/03,6.51,10
2678,05/01,61.4,15
2679,08/26,-27.0,2
2680,10/27,11.56,12
2681,03/26,74.81,3
2682,06/20,11.34,13
2683,04/07,-77.39,18
2684,02/27,87.78,17
2685,08/22,-32.32,17
2686,03/11,-17.41,18
2687,09/05,48.32,16
2688,04/11,99.66,5
2689,10/11,60.15,17
2690,11/04,57.16,4
2691,05/29,-23.32,17
2692,02/24,13.54,4
2693,01/12,-86.93,5
2694,07/17,28.36,1
2695,01/09,28.07,9
2696,05/09,12.62,17
2697,05/08,19.09,5
2698,08/01,62.63,7
2699,10/25,-18.72,15
2700,03/18,88.02,13
2701,11/06,49.92,14
2702,07/03,-27.32,6
2703,05/27,-28.76,20
2704,06/27,-45.68,9
2705,05/08,91.21,8
2706,10/28,-13.9,8
2707,05/02,-32.31,5
2708,07/06,42.43,14
2709,08/11,-15.94,18
2710,11/16,-93.23,3
2711,04/18,-86.58,18
2712,11/08,37.59,3
2713,08/17,9.09,6
2714,12/17,-87.1,3
2715,08/25,80.45,16
2716,01/02,-27.17,14
2717,05/18,38.19,5
2718,08/31,-9.79,17
2719,04/10,39.56,15
2720,10/18,-32.26,7
2721,12/11,45.13,7
2722,11/29,9.84,5
2723,09/14,14.8,2
2724,05/22,25.81,1
2725,07/20,15.43,11
2726,06/17,94.58,6
2727,02/23,64.06,10
2728,06/27,53.54,15
2729,06/07,-55.85,12
2730,10/05,48.77,20
2731,07/26,-97.6,6
2732,08/10,-48.56,19
2733,12/01,-26.9,13
2734,11/19,68.05,15
2735,02/11,-55.35,2
2736,07/06,8.54,11
2737,06/26,-11.94,16
2738,06/25,-15.12,2
2739,09/26,82.21,15
2740,12/11,-33.98,7
2741,03/11,40.88,3
2742,06/06,-51.64,8
2743,08/08,-10.19,5
2744,08/19,-0.18,10
2745,01/01,21.55,3
2746,05/16,70.09,9
2747,08/26,19.22,2
2748,01/10,80.67,17
2749,04/17,-6.5,15
2750,10/07,-65.67,8
2751,05/15,88.26,3
2752,04/14,85.53,10
2753,03/21,89.57,2
2754,09/06,9.81,13
2755,07/07,-41.44,13
2756,09/10,97.28,20
2757,07/04,33.99,18
2758,07/25,42.04,9
2759,07/02,71.12,3
2760,08/19,46.22,14
2761,06/16,4.1,2
2762,07/20,-70.07,15
2763,07/31,-26.39,2
2764,03/24,26.59,10
2765,11/26,-56.95,2
2766,07/11,-61.77,16
2767,12/15,52.85,1
2768,05/23,-41.79,12
2769,12/28,70.22,7
2770,04/30,39.74,3
2771,01/04,-98.62,12
2772,05/05,52.39,9
2773,01/01,89.19,15
2774,08/11,-48.9,14
2775,02/09,-48.28,2
2776,02/11,-78.54,4
2777,02/17,48.97,4
2778,12/17,2.45,14
2779,04/27,-42.8,18
2780,02/15,41.51,7
2781,11/01,-10.25,18
2782,01/12,57.23,7
2783,10/05,40.44,9
2784,11/16,66.57,10
2785,01/09,57.11,18
2786,11/07,-73.79,20
2787,03/08,99.93,10
2788,04/14,-46.33,6
2789,04/20,21.69,15
2790,03/28,-86.17,3
2791,09/11,79.67,4
2792,08/02,48.11,10
2793,03/14,72.97,20
2794,01/30,-3.44,5
2795,05/09,-55.06,11
2796,10/17,-45.13,7
2797,03/07,-25.94,15
2798,10/14,67.0,1
2799,08/30,68.75,4
2800,09/03,-14.51,5
2801,11/04,-84.27,12
2802,12/14,70.44,7
2803,03/15,81.65,4
2804,11/19,-22.93,11
2805,04/08,43.94,19
2806,02/20,1.29,16
2807,05/18,56.92,10
2808,08/16,-55.43,4
2809,08/29,77.51,8
2810,09/25,93.15,20
2811,06/17,13.31,11
2812,04/02,36.46,14
2813,06/24,49.87,4
2814,09/03,54.2,19
2815,04/26,0.41,20
2816,11/21,-23.44,4
2817,11/19,58.42,15
2818,07/29,-48.07,9
2819,05/09,-11.18,9
2820,09/26,77.04,18
2821,06/20,-23.6,8
2822,07/26,-64.7,14
2823,03/14,24.19,12
2824,06/18,-70.05,13
2825,04/15,64.54,9
2826,09/13,-6.69,12
2827,10/04,-83.4,8
2828,04/17,74.68,20
2829,05/29,81.61,20
2830,12/19,-4.7,5
2831,05/06,-89.86,8
2832,11/03,74.67,3
2833,02/24,69.64,12
2834,03/27,74.93,7
2835,01/30,-38.86,8
2836,02/14,-46.29,12
2837,07/19,30.42,12
2838,05/19,73.08,18
2839,08/05,-11.82,11
2840,11/17,87.29,5
2841,05/31,82.02,10
2842,03/16,95.0,4
2843,08/29,96.87,20
2844,06/19,64.66,12
2845,02/18,8.09,19
2846,10/01,95.97,4
2847,08/30,-31.53,17
2848,11/21,99.43,16
2849,03/09,-88.62,11
2850,05/16,-55.32,1
2851,01/06,-13.72,19
2852,08/13,37.54,12
2853,12/24,10.26,20
2854,06/29,82.89,5
2855,05/26,70.3,5
2856,03/17,76.09,7
2857,07/28,-74.84,6
2858,09/28,-37.8,15
2859,03/28,-87.76,6
2860,09/23,-92.56,17
2861,10/09,18.43,16
2862,09/22,-75.59,5
2863,09/17,89.85,12
2864,01/25,-42.45,4
2865,10/25,87.4,7
2866,09/24,-11.36,1
2867,06/25,-6.72,19
2868,08/14,11.7,11
2869,05/21,-27.6,5
2870,05/28,91.59,6
2871,11/12,10.44,18
2872,01/08,82.16,10
2873,04/05,83.86,15
2874,09/26,-6.34,16
2875,10/28,-6.48,15
2876,04/27,-12.99,15
2877,06/15,-65.41,14
2878,08/14,-71.93,4
2879,12/29,-12.36,19
2880,02/27,11.74,6
2881,10/18,-64.53,11
2882,06/10,97.07,11
2883,12/28,-28.62,12
2884,03/09,24.12,6
2885,06/17,44.38,4
2886,06/18,-30.28,16
2887,06/03,-59.01,14
2888,06/02,-60.6,3
2889,01/14,-2.14,7
2890,09/03,-77.07,11
2891,02/25,37.11,5
2892,09/30,-7.31,18
2893,07/13,-85.68,1
2894,04/14,-16.49,15
2895,04/02,-89.31,19
2896,01/01,56.03,19
2897,11/28,2.7,3
2898,05/09,-48.75,13
2899,04/23,88.1,14
2900,01/31,83.12,20
2901,07/14,65.75,4
2902,02/27,38.32,9
2903,10/13,-37.05,7
2904,09/25,53.65,2
2905,07/09,59.32,17
2906,12/19,0.83,7
2907,10/03,33.48,16
2908,07/11,-53.82,10
2909,03/23,86.95,19
2910,07/23,-33.89,8
2911,03/30,3.39,7
2912,10/16,96.58,17
2913,02/07,-79.25,13
2914,03/23,-77.79,7
2915,09/13,76.8,3
2916,12/07,0.53,12
2917,07/29,-87.71,6
2918,12/23,28.72,11
2919,03/07,59.56,6
2920,08/29,10.82,18
2921,06/26,5.56,9
2922,02/06,37.37,16
2923,05/06,28.45,14
2924,10/15,46.23,15
2925,01/29,64.34,1
2926,03/19,-21.72,17
2927,03/11,63.09,20
2928,10/11,89.21,17
2929,04/11,-52.17,1
2930,02/23,90.86,1
2931,07/10,-18.84,4
2932,06/07,66.03,14
2933,04/17,98.37,7
2934,10/09,-44.21,12
2935,01/11,-89.82,5
2936,01/12,0.08,4
2937,11/02,-8.33,8
2938,01/08,-36.59,10
2939,07/26,2.06,6
2940,05/15,12.05,16
2941,03/21,10.4,7
2942,04/18,20.21,7
2943,06/13,11.77,20
2944,09/16,-83.43,12
2945,06/26,63.55,6
2946,10/20,72.7,8
2947,01/14,-72.86,13
2948,07/24,-52.89,20
2949,08/26,91.39,12
2950,11/28,83.45,3
2951,09/14,82.6,19
2952,12/01,-7.69,6
2953,07/04,83.21,12
2954,08/20,-92.93,17
2955,07/09,-12.25,1
2956,06/30,-96.94,17
2957,05/31,-56.12,3
2958,02/24,75.53,15
2959,12/27,-3.44,7
2960,06/24,99.95,8
2961,06/21,-60.49,10
2962,06/23,83.27,17
2963,12/26,43.76,17
2964,02/04,28.66,2
2965,07/16,81.08,9
2966,11/16,-92.97,11
2967,12/18,59.12,14
2968,08/08,-5.98,13
2969,02/01,-25.84,13
2970,06/09,-89.49,3
2971,04/22,-27.33,10
2972,04/25,27.98,17
2973,01/13,48.99,12
2974,01/24,70.23,3
2975,11/02,-63.25,13
2976,06/22,-10.61,10
2977,10/24,65.66,20
2978,07/27,-48.28,9
2979,09/19,29.8,4
2980,05/17,-10.73,7
2981,10/12,-41.95,3
2982,04/30,30.49,5
2983,01/31,44.01,10
2984,10/15,-77.4,14
2985,11/26,-97.18,14
2986,12/17,-75.88,16
2987,12/09,-74.8,14
2988,02/20,-1.46,1
2989,09/06,-10.0,13
2990,05/22,-42.29,14
2991,08/03,72.91,12
2992,12/17,-24.13,17
2993,11/29,23.97,15
2994,12/21,-2.74,20
2995,11/10,55.9,18
2996,11/06,-23.43,6
2997,04/30,55.46,7
2998,07/11,-72.33,7
2999,07/03,-77.11,13
3000,11/21,14.4,8
3001,03/30,-77.15,4
3002,08/18,-98.07,7
3003,05/10,-95.27,1
3004,12/13,-25.58,16
3005,11/06,-90.55,5
3006,04/02,-16.03,19
3007,10/02,18.19,13
3008,10/21,9.59,2
3009,01/01,41.74,13
3010,04/11,-75.41,8
3011,05/27,-51.99,3
3012,01/10,-69.79,3
3013,11/30,-88.51,9
3014,07/22,-88.44,20
3015,05/21,-21.4,6
3016,10/15,-77.81,20
3017,08/02,61.81,5
3018,04/02,16.8,18
3019,02/05,88.14,7
3020,03/17,14.07,17
3021,06/30,-37.29,7
3022,05/15,55.14,5
3023,01/20,88.16,12
3024,10/03,-78.31,16
3025,05/02,-29.69,3
3026,09/29,-64.24,20
3027,01/27,63.11,19
3028,08/09,54.15,17
3029,05/10,-26.39,20
3030,08/27,31.53,18
3031,08/03,70.54,6
3032,04/10,66.19,7
3033,12/28,-0.35,7
3034,07/22,59.81,14
3035,02/02,-1.29,6
3036,03/12,-46.46,5
3037,11/30,12.44,2
3038,01/01,19.99,11
3039,03/04,3.19,12
3040,05/16,40.59,16
3041,03/31,7.35,19
3042,01/16,64.23,11
3043,11/19,61.12,7
3044,04/28,47.79,14
3045,07/06,-38.59,2
3046,06/30,-58.97,2
3047,08/23,-38.29,12
3048,12/15,38.87,18
3049,09/03,48.07,5
3050,10/25,97.36,5
3051,07/08,-19.68,12
3052,10/12,3.58,16
3053,01/17,-42.0,16
3054,08/19,-90.39,11
3055,05/23,73.68,5
3056,04/15,-65.29,11
3057,01/27,31.13,8
3058,07/10,6.26,13
3059,02/02,-58.42,5
3060,01/02,-68.69,13
3061,03/25,38.35,17
3062,06/12,-39.56,4
3063,07/13,-30.87,14
3064,07/22,-98.88,14
3065,01/28,1.34,9
3066,08/18,0.36,19
3067,01/17,-53.6,20
3068,05/20,66.7,18
3069,06/10,-53.81,7
3070,02/12,-29.88,5
3071,11/12,-60.88,9
3072,06/01,7.04,4
3073,07/19,0.48,11
3074,03/28,82.98,9
3075,10/17,67.99,19
3076,02/24,72.36,6
3077,03/18,15.02,12
3078,03/08,-25.34,4
3079,12/23,31.76,20
3080,06/27,41.6,12
3081,10/07,-25.43,8
3082,10/05,-61.91,14
3083,05/23,86.47,12
3084,06/13,-96.44,16
3085,07/05,0.31,1
3086,04/19,78.22,16
3087,03/19,-59.82,4
3088,11/10,61.87,17
3089,05/05,-35.71,14
3090,12/22,-86.55,15
3091,01/03,-67.0,1
3092,11/24,86.39,15
3093,02/01,49.05,5
3094,04/20,9.31,17
3095,03/14,-58.26,17
3096,07/23,-78.91,19
3097,03/18,-31.62,2
3098,01/02,47.35,14
3099,10/20,-16.89,9
3100,10/07,14.88,3
3101,11/10,-9.42,16
3102,10/05,4.73,2
3103,01/08,65.02,2
3104,11/17,-58.98,5
3105,12/12,-98.02,12
3106,09/19,-74.21,8
3107,10/03,71.8,5
3108,09/20,10.36,16
3109,04/22,-86.1,19
3110,12/08,39.29,6
3111,02/06,70.56,19
3112,01/01,-17.95,9
3113,06/29,81.63,20
3114,04/02,55.22,10
3115,09/16,-77.75,4
3116,09/23,86.71,5
3117,11/25,67.88,11
3118,06/28,42.19,5
3119,07/14,74.74,10
3120,06/09,-62.84,2
3121,05/22,78.51,20
3122,02/26,22.58,13
3123,11/12,80.77,20
3124,05/03,-98.89,8
3125,03/27,-56.94,7
3126,08/19,-81.65,14
3127,08/20,-12.63,2
3128,04/30,15.1,18
3129,05/02,-82.68,1
3130,12/21,31.75,10
3131,12/10,52.81,19
3132,07/21,-23.2,16
3133,11/08,14.1,6
3134,07/23,-46.52,3
3135,11/11,88.69,2
3136,11/24,66.7,7
3137,05/28,1.19,13
3138,12/23,-57.51,4
3139,02/03,0.56,8
3140,03/22,-95.18,9
3141,06/05,89.83,13
3142,03/31,34.76,4
3143,09/14,-59.74,10
3144,11/12,92.13,18
3145,11/04,95.69,16
3146,01/04,-62.35,10
3147,11/05,-50.64,13
3148,03/15,79.17,5
3149,05/13,63.94,8
3150,06/14,23.02,7
3151,12/24,-49.02,10
3152,02/06,78.12,16
3153,04/14,72.67,20
3154,09/11,25.39,6
3155,08/26,59.36,15
3156,12/19,-92.05,9
3157,02/27,-34.95,9
3158,09/09,92.65,5
3159,12/14,2.14,3
3160,02/28,-15.16,19
3161,05/13,98.69,12
3162,02/13,-59.0,10
3163,05/06,-65.97,5
3164,12/19,15.06,10
3165,09/09,-34.13,17
3166,12/28,-49.67,11
3167,11/17,-69.37,6
3168,12/21,-7.55,9
3169,03/06,-83.71,17
3170,05/17,91.2,3
3171,08/21,1.66,12
3172,03/03,-7.44,13
3173,12/08,12.74,3
3174,12/29,-33.93,17
3175,11/18,-71.75,6
3176,08/16,90.31,19
3177,08/09,20.89,4
3178,07/04,-89.55,1
3179,08/19,88.13,11
3180,02/16,21.11,13
3181,11/29,59.87,3
3182,11/28,66.68,18
3183,05/15,49.43,19
3184,11/26,50.46,15
3185,10/27,25.44,16
3186,06/26,-3.41,16
3187,12/30,84.96,7
3188,02/27,-17.68,14
3189,03/05,79.98,10
3190,03/22,19.8,18
3191,03/08,70.35,4
3192,12/12,14.35,20
3193,07/26,-7.31,11
3194,04/09,-47.47,1
3195,04/25,43.59,10
3196,09/14,-67.51,19
3197,08/05,-23.08,17
3198,05/17,-62.64,12
3199,10/13,89.15,13
3200,02/01,0.82,18
3201,08/03,-71.13,9
3202,01/25,-60.47,8
3203,01/06,-64.77,11
3204,05/21,32.08,9
3205,09/08,76.72,10
3206,06/02,-36.12,8
3207,01/14,-46.78,13
3208,06/10,-86.01,12
3209,09/05,-17.74,18
3210,07/04,-48.46,15
3211,11/25,82.6,8
3212,09/01,-4.52,10
3213,01/23,-8.3,17
3214,05/14,-39.46,9
3215,12/24,23.19,11
3216,11/30,-62.31,9
3217,06/14,41.15,16
3218,08/14,-71.94,17
3219,08/25,-26.46,17
3220,06/21,-47.17,4
3221,11/26,74.41,8
3222,11/22,11.38,19
3223,02/25,6.32,19
3224,10/25,35.23,15
3225,04/03,98.45,18
3226,09/23,61.99,4
3227,09/24,-95.83,14
3228,06/18,74.69,19
3229,03/11,1.21,6
3230,12/13,-71.99,13
3231,12/22,13.74,4
3232,11/24,77.5,10
3233,11/06,23.99,4
3234,04/04,50.63,12
3235,04/01,-99.22,12
3236,03/08,-11.06,7
3237,05/30,-10.67,14
3238,07/09,-81.05,4
3239,02/08,-7.27,8
3240,07/07,-53.41,12
3241,05/31,30.51,11
3242,05/03,-95.79,16
3243,01/05,38.66,4
3244,05/02,-50.61,6
3245,08/21,-75.93,4
3246,04/05,-86.92,10
3247,02/04,19.02,15
3248,06/22,65.33,8
3249,09/25,-92.1,15
3250,10/29,-96.12,8
3251,05/10,16.67,1
3252,06/18,-89.78,14
3253,07/17,-5.97,2
3254,11/20,23.6,16
3255,07/03,70.04,3
3256,02/07,-99.31,16
3257,05/28,48.84,1
3258,06/03,-15.76,4
3259,03/27,-29.42,17
3260,03/13,-30.34,16
3261,04/01,14.79,16
3262,02/26,-78.46,4
3263,04/15,-58.72,9
3264,04/01,-48.96,8
3265,01/18,-73.83,4
3266,04/06,-64.15,1
3267,12/04,-95.68,8
3268,01/03,30.12,9
3269,10/30,18.37,18
3270,01/05,94.49,15
3271,03/27,-82.18,7
3272,05/18,72.82,13
3273,08/09,90.09,13
3274,10/19,-64.04,10
3275,07/30,-5.9,1
3276,10/05,-30.61,2
3277,04/22,-28.88,19
3278,02/10,-13.62,16
3279,09/04,-69.38,14
3280,08/13,1.28,14
3281,11/24,46.09,14
3282,04/02,-76.84,3
3283,06/28,-3.14,13
3284,05/31,-69.09,11
3285,10/22,-21.03,5
3286,01/05,48.79,6
3287,06/17,-5.16,4
3288,05/10,-92.11,2
3289,07/28,44.51,18
3290,05/05,-57.56,20
3291,10/25,26.48,18
3292,11/17,37.63,11
3293,07/07,64.39,15
3294,05/29,11.78,20
3295,10/02,91.97,19
3296,01/10,73.68,14
3297,05/29,52.33,12
3298,06/04,-40.79,15
3299,06/25,24.87,17
3300,06/07,-69.79,4
3301,06/12,-87.38,7
3302,11/29,-66.22,11
3303,01/21,81.65,20
3304,06/13,44.07,8
3305,09/01,44.52,7
3306,08/05,-35.92,8
3307,12/18,-12.41,20
3308,07/12,-87.15,12
3309,05/23,50.67,9
3310,11/13,19.84,5
3311,02/26,-83.48,2
3312,07/19,55.89,16
3313,01/31,10.94,5
3314,04/02,62.82,12
3315,01/10,49.66,13
3316,01/10,15.36,1
3317,10/31,78.38,14
3318,05/10,-61.8,7
3319,09/15,-0.1,13
3320,05/14,-51.67,6
3321,10/29,-98.45,5
3322,06/30,-39.03,3
3323,03/08,44.64,5
3324,04/13,-99.88,2
3325,08/26,9.69,7
3326,11/16,38.43,4
3327,02/05,27.88,12
3328,07/01,-81.43,20
3329,07/02,84.42,19
3330,11/06,95.18,15
3331,11/29,-90.72,10
3332,12/23,-80.07,18
3333,01/29,-3.55,5
3334,11/02,9.28,18
3335,08/05,73.27,7
3336,12/20,50.02,11
3337,01/19,-2.06,3
3338,12/24,-99.95,5
3339,03/16,-10.57,2
3340,04/25,-91.34,7
3341,10/05,71.18,9
3342,05/11,23.39,13
3343,01/05,81.77,13
3344,04/06,64.93,19
3345,12/25,17.31,6
3346,10/21,7.08,14
3347,03/28,12.33,18
3348,09/29,-77.14,18
3349,03/18,-90.16,14
3350,08/08,-7.4,18
3351,09/17,95.9,4
3352,09/14,-52.15,3
3353,06/13,94.64,17
3354,02/01,13.43,2
3355,12/20,24.84,19
3356,12/27,72.14,2
3357,03/06,-38.32,5
3358,03/22,-27.65,1
3359,09/17,65.85,12
3360,07/19,21.14,10
3361,08/01,61.63,11
3362,07/06,-55.05,5
3363,09/07,-77.04,9
3364,04/14,-2.22,1
3365,09/19,-69.88,13
3366,05/31,79.11,14
3367,11/19,-86.64,16
3368,06/04,-68.12,6
3369,12/23,-51.84,9
3370,06/03,75.75,1
3371,11/21,24.87,7
3372,04/17,-9.89,1
3373,05/14,-76.92,19
3374,07/13,2.35,18
3375,03/12,-93.48,10
3376,12/20,-20.96,19
3377,05/31,-97.81,15
3378,02/09,84.38,14
3379,12/29,42.14,18
3380,01/31,44.25,10
3381,08/16,86.19,7
3382,11/03,72.49,18
3383,05/21,76.5,19
3384,10/30,-64.0,3
3385,12/15,68.14,16
3386,02/05,-83.92,7
3387,08/12,50.9,8
3388,11/03,43.01,5
3389,12/02,-51.08,10
3390,05/02,-7.85,20
3391,04/15,35.46,13
3392,11/19,49.69,18
3393,02/28,-92.72,10
3394,07/23,66.02,11
3395,09/28,-39.25,18
3396,06/13,92.13,6
3397,11/22,-34.73,17
3398,07/17,-92.23,15
3399,02/08,-31.85,18
3400,07/31,95.71,14
3401,05/14,-74.48,19
3402,02/03,-61.67,14
3403,04/29,-80.68,7
3404,06/03,-34.72,3
3405,02/16,4.82,8
3406,12/30,77.28,18
3407,01/30,-6.28,13
3408,09/25,-71.36,12
3409,02/20,-42.19,14
3410,03/15,-30.48,20
3411,02/27,92.11,13
3412,11/29,11.13,19
3413,07/29,-0.3,18
3414,04/19,80.68,20
3415,11/17,91.5,19
3416,04/20,-85.82,15
3417,02/14,93.43,9
3418,02/01,0.22,10
3419,01/25,-61.6,6
3420,09/03,6.51,14
3421,06/25,10.2,17
3422,07/07,-82.17,13
3423,09/12,29.05,10
3424,09/28,16.71,14
3425,03/13,-71.99,13
3426,09/01,55.48,8
3427,06/05,-7.03,13
3428,11/22,-28.62,7
3429,01/05,10.78,14
3430,04/15,-80.43,16
3431,04/18,-43.25,16
